Name of the Industry,Location,District
M/s. Chhatisgarh Process (P) Ltd,"At-Jaribahal, PO-Joda",Kendujhar
M/s. Sidheswar Mineral Corporation,"At-Nayagada, PO-Dubuna",Kendujhar
M/s. Shree Giriraj Metalics,"At-Dabuna, PO-Joda",Kendujhar
M/s. Satyasai Mines & Minerals,"At-Talachampei, PO-Champei",Kendujhar
M/s. Prime Minerals (P) Ltd,At/PO-Sergigarh,Sundargada
M/s. Khandabandha Iron & Mn. Mine,"At-Khandabandha, PO-Joda",Kendujhar
M/s. Shree Maheswari Minerals,At/PO-Suakati,Kendujhar
M/s. Maa Santoshi Industries Ltd,"At-Khuntakata, PO-Suakati",Kendujhar
M/s. Virangana Steel Ltd,"At-Loidapada, PO-Guali",Kendujhar
M/s. CNN Minerals,"At-Lasarda, PO-Dhanurjayapur",Kendujhar
M/s. Shree Udyog,"At-Kolhabarpada, PO-Badabil",Kendujhar
M/s. Shyam Sel Ltd,"At-Barpada, PO-Guali",Kendujhar
M/s. OCL India Ltd,"At-Lamloi, PO-Garvana",Sundargada
M/s. Everlast Fincon (P) Ltd,At/PO-Dubuna,Kendujhar
M/s. Brahmha Mines & Minerals (P) Ltd,At/PO-Matkambeda,Kendujhar
M/s. Hawarh Gases Ltd,At-Matkambeda I.E,Kendujhar
M/s. Sumrit Metallics (P) Ltd,"At-Soyabahal, PO-Badabil",Kendujhar
M/s. Jagannath Mineral (P) Ltd,"At-San-Indupur, PO-Koira",Sundargada
M/s. Unchabali Iron Mn. Mine,"At-Unchabali, PO-Balda",Kendujhar
M/s. TISCO Joda East Iron Mine,At/PO-Joda,Kendujhar
M/s. Maa Nainadevi Minerals,"At-San-Indupur, PO-Koira",Sundargada
M/s. Mahavir Ores & Sponge (P) Ltd,"At-Sonua, PO-Koira",Sundargada
M/s. Mahadev Sponge & Mining (P) Ltd,"At-Beldihi, PO-Koira",Sundargada
M/s. Shree Guru Kripa Udyog,At-Dubuna,Kendujhar
M/s Shyam Steel,"At-Kalmang, PO-Malda",Sundargada
M/s. High-Tech Minerals & Sponge,"At-Nuagaon, PO-Koira",Sundargada
M/s. Koira Steel (P) Ltd.,"At/PO-Koira, Belkudar, Tehroi",Sundargada
M/s. Sushila Sponge (P) Ltd,"At-Kasia, PO-Bhadrasahi",Kendujhar
M/s. Shagun Projects (P) Ltd,"At-Patmunda, PO-Koira",Sundargada
M/s. Sub-metallics,"At-Tanta, PO-Bhadrasahi",Kendujhar
M/s. Asha Minerals,"At-Raika, PO-Badabil",Kendujhar
M/s. Kalinga Stone Works,"At-Nischintpur, PO-Badaposh",Kendujhar
M/s. Suraj Minerals,"At-Goiliharga, PO-Kalunga",Sundargada
M/s. Kanodia Iron Work (P) Ltd,"At-Palasa (Kha), PO-Jajang",Kendujhar
M/s. Dryson Marketing (P) Ltd,"At-Sonua, PO-Koira",Sundargada
M/s. Maruti Stone Works,Patmunda,Sundargada
M/s. Sri Vrindaban Metallics,"At-Sonua, PO-Koira",Sundargada
M/s. Gonasika Ferro Products,"At-Bayakumutia, PO-Banspal",Kendujhar
M/s. Maruti Ores,"Baldihi, Sonua, Koira",Sundargada
M/s. Bisra Minerax,"At-Nayagada, PO-Dubuna",Kendujhar
M/s. B. Seenaiah & Co Projects Ltd,"At-San-Indupur, PO-Malda",Sundargada
M/s. Puja Minerals,"At-Talakaipur, PO-Suakati",Kendujhar
M/s. Shree Mahavir High Tech Chemicals (P) Ltd,At/PO-Koida,Sundargada
M/s. Kamakhya Ores (P) Ltd,"At-Sonua, PO-Patmunda",Sundargada
M/s. Jai Maa Vaishno Devi Minerals,"At-Kasia, PO-Badabil (Ka)",Kendujhar
M/s. Maa Tarini Iron Ore Crusher,"At-Matkambeda I.E, PO-Badabil",Kendujhar
M/s. Vibgyor Structural Construction (P) Ltd,"At-Kamarposh, PO-Bimalgarh",Sundargada
M/s. R. P. Gupta Mineral (P) Ltd,"At-San-Indupur, PO-Malda",Sundargada
M/s. Hindustan Minerals,"At-Salarpentha, PO-Mahadeijoda",Kendujhar
M/s. Prabhu Sponge (P) Ltd,"At-Jhagarpur, PO-Kesamal",Sundargada
M/s. Khatau Narviram & Co.,"At-Tanto, PO-Bhadrasahi",Kendujhar
M/s. SKD Steels (P) Ltd,"At-Kolabarpada, PO-Matkambeda",Kendujhar
M/s. Subham Minerals & Steel,"At-Kusumdihi, PO-Koira",Sundargada
M/s. Flexi Multi Product & Services (P) Ltd,"At-Anugulia, PO-Nandapur",Kendujhar
M/s. Ganesh Ores & Minerals,"At-Sonua, PO-Koira",Sundargada
M/s. Sanwaria Steel (P) Ltd,"At-Lasarda, PO-Bolani",Kendujhar
M/s. Green Industries (P) Ltd,"At-Sonua, PO-Patmunda",Sundargada
M/s. Aditya Minerals,"At-Tentulidihi, PO-Koira",Sundargada
M/s. BRM Mines & Minerals,"At-Saralapentha, PO-Mahadeijoda",Kendujhar
M/s. Bhargav Metalliks (P) Ltd,"At-Ranisal, PO-Patmunda",Sundargada
M/s. Sri KLS Energy,Palasa (Kha),Kendujhar
M/s. SRT Salsar Ores & Minerals,"At-Kodadiha, PO-Koira",Sundargada
M/s. Jaimata Ambe Enterprises,"At-Goibhang, PO-Kalunga",Sundargada
M/s. Shree Balaji Ispat,"At-Kadadihi, PO-Koira",Sundargada
M/s. Jai Jagadamba Minerals,"At-Dhanurjayapur, PO-Malda",Kendujhar
M/s. Basundhara Metalliks (P) Ltd,Podujalanga,Sundargada
M/s. Srijee Strips (P) Ltd,At/PO-Koida,Sundargada
M/s. Maa Tarini Ores & Minerals,At-Bhuiya Roida,Kendujhar
M/s. Shree Shyam Minerals,"At-Jharsua, PO-Bhadrasahi",Kendujhar
M/s. Triveni Earth Movers (P) Ltd,At/PO-Guali,Kendujhar
M/s. Maa Samaleswari Mine Products,"At-Ranisal, PO-Patmunda",Sundargada
M/s. Ares & Sons,At/PO-Dubuna,Kendujhar
M/s. Bhargav Steel (P) Ltd,"At-Ranisal, PO-Koira",Sundargada
M/s. Bindal Sponge Ltd,"At-Sunakhani, PO-Talcher",Anugul
M/s. Tulip Mines (P) Ltd,"At-Barpada, PO-Guali",Kendujhar
M/s. Amiya Steels (P) Ltd,"At-Maharajpur, PO-Jashipur",Mayurbhanj
